,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
EQIX,Real Estate,Equinix Inc.,0.193929,720.67,S&P500,92.50,7.67,0.10%,92.57M,3.25%,64.14B,67.87,10.46,-38.33%,92.25M,0.64%,704.30M,5.24,2.09,96.50%,1.62% / 3.76,8.38%,7.26B,8.83,38.60%,0.73%,1.50M,24.81%,124.29,5.71,2.40%,783.76,-4.27%,-,-,17.65%,6.40%,494.89 - 776.35,8.38%,13.64,-,68.00%,4.10%,-8.55%,0.62,1.92%,1.80,10.70%,48.30%,43.46%,16.61,12097,1.80,9.60%,16.50%,55.82,1.75% 2.34%,Yes,1.31,2.50%,9.70%,1.31,721.04,Yes,1.29,Feb 15 AMC,158.10%,397.88K,709.95,2.00,3.14%,0.53%,7.90%,"519,301",-1.54%,0
CME,Financials,CME Group Inc. Class A,0.200239,190.31,S&P500,25.72,7.40,0.20%,358.89M,2.86%,67.54B,21.63,8.80,7.95%,358.12M,2.71%,2.66B,6.56,2.11,88.20%,1.16% / 2.13,13.17%,5.02B,13.45,1.50%,0.51%,4.14M,10.30%,74.89,2.54,1.40%,205.07,-17.86%,7.94,23.98,3.92%,9.60%,162.26 - 240.60,13.17%,4.40,202.93,-8.70%,7.30%,-20.90%,0.42,2.31%,1.00,6.60%,-,17.29%,3.73,3460,1.00,5.30%,60.10%,60.60,1.33% 2.28%,Yes,0.13,4.00%,52.90%,0.86,191.52,Yes,0.13,Apr 26 BMO,54.00%,1.94M,190.31,2.40,3.64%,4.33%,4.51%,"1,669,592",-0.63%,0
CCI,Real Estate,Crown Castle Inc.,0.168429,131.43,S&P500,34.26,3.86,0.45%,433.00M,3.73%,56.75B,37.11,3.56,0.17%,430.78M,0.54%,1.68B,-,1.11,93.10%,0.78% / 1.66,-2.52%,6.99B,8.12,44.60%,0.38%,3.36M,-8.19%,17.20,7.69,4.30%,154.07,-27.67%,0.36,363.77,-3.23%,21.60%,121.26 - 198.03,-2.52%,6.26,-,35.60%,8.20%,-33.23%,0.67,4.73%,0.40,10.40%,70.40%,9.04%,3.42,5000,0.40,6.70%,34.30%,51.23,1.50% 2.79%,Yes,2.92,17.30%,24.00%,0.86,133.84,Yes,2.81,Jan 25 AMC,154.50%,2.03M,132.22,2.50,2.06%,-3.01%,-11.16%,"1,744,896",-1.21%,0
WM,Industrials,Waste Management Inc.,0.177132,163.71,S&P500,30.39,5.39,0.10%,409.20M,6.70%,65.99B,24.40,6.72,-8.41%,405.67M,9.19%,2.24B,3.47,1.53,87.80%,1.14% / 2.49,4.46%,19.70B,3.35,25.60%,5.38%,4.61M,2.28%,16.74,9.79,7.40%,170.18,3.39%,0.87,188.00,8.75%,31.80%,138.89 - 175.98,4.46%,2.80,75.67,-1.30%,12.30%,-6.88%,0.73,1.71%,0.80,6.30%,46.90%,17.99%,2.79,49500,0.80,5.50%,17.10%,70.95,1.41% 1.82%,Yes,2.19,0.90%,11.40%,1.10,163.17,Yes,2.13,Apr 26 AMC,48.00%,1.85M,163.87,2.40,6.54%,7.31%,3.02%,"2,043,722",0.43%,0
MRNA,Health Care,Moderna Inc.,0.147448,159.3,"NDX, S&P 500 NDQ100",7.99,19.96,2.40%,388.00M,7.50%,59.05B,-,-3.37,-21.60%,346.94M,11.37%,8.36B,-,-1.86,65.90%,4.58% / 4.43,-11.21%,19.26B,3.07,-29.00%,0.92%,15.89M,34.87%,49.29,3.24,31.70%,226.64,-7.42%,26.74,5.96,-,46.30%,115.03 - 217.25,-11.21%,-,12.89,92.10%,40.60%,-26.59%,1.70,-,2.50,147.90%,71.90%,38.64%,5.78,3900,2.70,-29.50%,48.90%,58.86,3.26% 3.71%,Yes,0.06,-68.10%,43.40%,1.11,153.58,Yes,0.05,Feb 23 BMO,0.00%,3.59M,159.48,2.40,7.99%,-0.32%,0.48%,"3,967,176",3.84%,0
USB,Financials,U.S. Bancorp,0.146211,35.62,S&P500,9.65,3.69,0.15%,1.53B,2.21%,53.68B,6.66,5.35,-6.59%,1.53B,-24.35%,5.50B,2.51,1.24,74.10%,0.80% / 0.94,-18.28%,17.95B,2.99,-27.70%,-0.68%,12.25M,-11.61%,29.29,1.22,0.90%,52.57,-32.94%,35.55,1.00,3.85%,12.90%,32.72 - 53.88,-18.28%,1.92,2.93,4.40%,13.70%,-33.85%,0.97,5.39%,-,4.60%,-,8.92%,1.68,76646,-,78.10%,71.10%,37.58,2.81% 4.95%,Yes,0.87,-46.70%,30.70%,0.94,36.05,Yes,0.87,Apr 19 BMO,50.30%,12.97M,35.64,2.50,-5.56%,-19.18%,-20.17%,"12,202,879",-1.14%,1
ICE,Financials,Intercontinental Exchange Inc.,0.169666,105.31,S&P500,41.00,2.57,0.20%,559.00M,7.52%,58.03B,17.65,5.97,-11.82%,550.82M,2.87%,1.45B,7.00,1.34,91.20%,0.61% / 1.21,2.76%,9.64B,6.02,-64.10%,-1.09%,3.34M,16.68%,40.62,2.60,0.70%,128.07,-20.21%,3.27,32.26,5.86%,6.40%,88.60 - 133.52,2.76%,1.68,23.44,-2.80%,8.10%,-21.05%,0.93,1.59%,1.10,10.50%,75.70%,18.98%,2.15,8911,1.10,2.10%,37.70%,61.92,1.30% 2.28%,Yes,0.80,-72.00%,15.00%,0.96,104.29,Yes,0.80,Feb 02 BMO,58.80%,2.77M,105.42,2.00,5.97%,1.71%,4.39%,"2,661,406",1.08%,0
EL,Consumer Staples,Estee Lauder Companies Inc. Class A,0.16622,246.29,S&P500,59.83,4.12,0.20%,357.70M,2.03%,88.25B,33.77,7.31,-4.48%,230.07M,-2.54%,1.49B,8.00,1.55,91.30%,1.10% / 1.78,-0.53%,16.36B,5.39,-16.00%,-0.57%,2.54M,14.31%,16.50,14.96,7.20%,290.22,-9.38%,10.42,23.69,7.48%,25.80%,186.47 - 285.79,-0.53%,2.64,1400.83,14.40%,23.10%,-13.65%,1.02,1.07%,1.10,8.40%,73.90%,32.35%,5.34,63000,1.70,-16.60%,12.40%,54.14,1.53% 2.16%,Yes,0.91,-63.20%,9.10%,0.93,246.46,Yes,0.87,Feb 02 BMO,59.00%,1.43M,246.79,2.10,2.35%,-2.09%,0.87%,"1,333,229",0.13%,0
NSC,Industrials,Norfolk Southern Corporation,0.140577,218.81,S&P500,15.04,13.88,0.10%,230.00M,2.88%,46.85B,14.04,14.87,-10.12%,227.46M,-8.59%,3.27B,1.88,3.52,76.80%,1.00% / 1.39,-15.27%,12.74B,3.68,14.50%,-1.33%,2.27M,-0.41%,55.36,3.77,8.30%,248.08,-26.80%,2.03,102.74,7.98%,25.00%,196.33 - 285.57,-15.27%,5.40,42.32,14.20%,14.10%,-26.89%,1.30,2.59%,0.70,3.90%,50.10%,6.34%,4.76,19300,0.80,13.50%,37.70%,43.82,1.53% 2.26%,Yes,1.19,9.40%,25.60%,0.68,212.00,Yes,1.14,Apr 26 BMO,35.60%,1.63M,208.78,2.70,0.46%,-7.67%,-11.38%,"1,110,807",-1.52%,0
LRCX,Information Technology,Lam Research Corporation,0.208241,520.77,"NDX, S&P 500 NDQ100",14.02,37.20,0.20%,136.02M,5.19%,70.53B,19.22,27.14,-2.91%,134.52M,6.07%,5.13B,6.15,5.67,86.40%,1.71% / 1.77,24.08%,19.05B,3.70,21.80%,1.89%,2.30M,42.49%,61.06,8.54,28.60%,510.08,-2.99%,33.92,15.37,2.28%,73.20%,299.59 - 548.85,24.08%,6.90,33.64,28.80%,42.50%,-4.98%,1.51,1.32%,2.00,16.50%,45.30%,74.07%,18.68,17700,3.00,24.90%,31.80%,56.49,3.07% 3.51%,Yes,0.60,27.60%,26.90%,0.86,530.12,Yes,0.60,Apr 19 AMC,16.70%,1.30M,521.51,2.40,4.10%,4.24%,15.84%,"1,109,696",-1.62%,1
TFC,Financials,Truist Financial Corporation,0.131488,33.25,S&P500,7.48,4.43,0.10%,1.33B,0.15%,43.68B,6.54,5.06,-1.65%,1.32B,-28.35%,5.93B,-,1.24,75.30%,1.42% / 1.54,-23.01%,16.64B,2.63,-1.00%,-0.15%,18.76M,-23.91%,40.58,0.82,1.10%,50.50,-41.57%,22.90,1.45,-0.29%,10.70%,28.70 - 57.50,-23.01%,2.08,-,10.50%,12.50%,-42.38%,1.08,6.28%,-,17.70%,-,15.44%,1.89,52848,-,53.60%,81.40%,34.12,3.58% 6.37%,Yes,0.80,6.10%,35.60%,1.25,34.10,Yes,0.80,Apr 20 BMO,44.80%,12.17M,33.13,2.50,-6.10%,-23.10%,-26.95%,"15,183,041",-2.84%,0
EMR,Industrials,Emerson Electric Co.,0.144941,87.32,S&P500,19.47,4.48,0.20%,583.60M,5.44%,48.96B,19.38,4.50,-8.43%,565.69M,1.99%,2.66B,1.95,1.07,76.10%,1.13% / 1.75,-9.18%,18.53B,2.64,41.60%,-0.28%,6.37M,19.15%,18.38,4.75,13.50%,101.59,-11.02%,4.05,21.56,10.00%,44.50%,72.40 - 99.65,-9.18%,2.08,43.68,16.20%,11.90%,-12.46%,1.39,2.38%,0.90,5.20%,43.10%,20.49%,1.85,85500,1.10,6.90%,16.50%,60.95,1.35% 2.08%,Yes,0.93,-55.10%,25.20%,0.77,87.14,Yes,0.76,Feb 08 BMO,26.00%,3.63M,87.24,2.40,4.34%,1.98%,0.94%,"2,801,801",0.11%,0
SHW,Materials,Sherwin-Williams Company,0.154301,226.5,S&P500,29.35,7.72,0.10%,257.40M,5.94%,56.47B,22.98,9.86,-0.22%,237.16M,-0.74%,2.02B,3.23,2.52,79.20%,1.02% / 1.50,-4.50%,22.15B,2.55,10.50%,-0.70%,2.42M,10.69%,12.05,18.81,9.10%,249.22,-9.21%,0.80,284.05,9.07%,79.50%,195.24 - 285.00,-4.50%,2.42,85.96,13.60%,15.10%,-20.48%,1.07,1.07%,0.60,8.10%,42.10%,16.08%,5.32,64366,1.00,9.80%,11.80%,58.22,1.91% 2.44%,Yes,3.41,28.80%,9.10%,1.16,224.77,Yes,3.09,Jan 26 BMO,30.60%,1.61M,226.64,2.50,4.54%,0.18%,-2.28%,"1,864,533",0.83%,0
DG,Consumer Discretionary,Dollar General Corporation,0.136977,211.8,S&P500,19.83,10.68,0.10%,221.29M,2.84%,45.81B,16.88,12.55,-3.74%,217.95M,-2.67%,2.42B,2.28,2.39,94.10%,2.18% / 2.30,-13.96%,37.84B,1.21,4.90%,-3.51%,4.74M,-11.67%,25.04,8.46,8.50%,241.31,-4.83%,1.76,120.05,8.71%,40.60%,183.25 - 262.20,-13.96%,2.36,-,18.90%,20.90%,-19.20%,0.33,1.11%,0.10,10.00%,31.20%,15.62%,4.21,170000,1.30,17.90%,8.80%,46.81,1.73% 1.97%,Yes,0.00,15.30%,6.40%,0.97,210.46,Yes,1.26,Mar 16 BMO,15.40%,2.06M,211.87,2.20,0.02%,-4.27%,-11.60%,"1,989,166",0.67%,0
GD,Industrials,General Dynamics Corporation,0.149502,232.19,S&P500,19.06,12.19,0.50%,273.99M,3.26%,63.35B,15.75,14.76,-1.98%,273.28M,0.57%,3.39B,2.05,2.88,86.70%,1.00% / 2.26,-6.35%,39.41B,1.61,5.50%,-0.93%,2.74M,9.52%,67.77,3.43,6.60%,269.68,-3.66%,4.56,51.01,9.30%,18.90%,207.42 - 256.86,-6.35%,5.28,29.94,4.10%,12.20%,-9.54%,0.84,2.27%,1.00,4.90%,16.80%,12.02%,3.63,106500,1.40,5.40%,10.70%,62.17,1.07% 1.72%,Yes,0.58,5.40%,8.60%,0.85,228.21,Yes,0.51,Jan 25 BMO,20.50%,1.22M,232.36,2.00,4.10%,1.92%,-0.17%,"1,027,667",1.82%,0
MU,Information Technology,Micron Technology Inc.,0.191673,59.68,"NDX, S&P 500 NDQ100",42.82,1.39,0.20%,1.09B,-0.30%,68.01B,129.59,0.46,-5.66%,1.08B,4.98%,1.61B,-,-1.55,82.40%,1.95% / 1.37,19.27%,23.06B,2.95,50.70%,-1.24%,21.14M,18.98%,43.32,1.38,2.40%,67.31,-23.47%,9.48,6.29,-,3.30%,48.43 - 78.91,19.27%,0.46,-,11.90%,15.40%,-24.46%,1.41,0.77%,2.60,8.60%,27.50%,23.08%,2.28,48000,4.20,-52.60%,8.70%,52.19,3.65% 3.46%,Yes,0.26,-205.80%,7.00%,1.53,60.34,Yes,0.25,Mar 28 AMC,31.30%,15.38M,59.61,2.30,2.92%,0.64%,4.41%,"23,479,217",-1.21%,1
FCX,Materials,Freeport-McMoRan Inc.,0.170224,41.11,S&P500,17.31,2.38,0.52%,1.43B,8.48%,57.92B,17.48,2.36,-1.16%,1.42B,-5.79%,3.46B,-,0.58,79.30%,1.40% / 1.54,8.60%,22.78B,2.54,-17.80%,-0.49%,19.92M,51.39%,10.86,3.79,6.90%,45.88,-16.45%,5.79,7.11,-11.10%,22.90%,24.69 - 51.40,8.60%,0.30,13.66,20.60%,18.30%,-19.84%,2.01,0.73%,1.60,6.80%,33.80%,66.84%,1.41,25600,2.50,-6.60%,31.00%,59.19,2.16% 3.38%,Yes,0.68,-35.00%,15.20%,0.79,40.91,Yes,0.62,Jan 25 BMO,25.00%,12.97M,41.20,2.40,6.99%,-0.23%,17.86%,"10,301,542",0.71%,1
ATVI,Communication Services,Activision Blizzard Inc.,0.177451,85.25,"NDX, S&P 500 NDQ100",44.49,1.92,0.10%,785.00M,1.19%,66.37B,20.55,4.15,-1.12%,775.89M,7.48%,1.51B,3.78,0.88,83.10%,1.87% / 2.21,11.47%,7.53B,8.82,-44.30%,1.12%,14.48M,14.78%,24.51,3.48,5.90%,92.23,6.52%,15.65,5.45,11.77%,8.20%,70.94 - 85.74,11.47%,0.47,31.18,10.10%,6.30%,-0.48%,0.41,0.55%,4.10,1.40%,70.50%,20.28%,1.37,13000,4.10,7.90%,22.20%,73.09,0.92% 1.44%,Yes,0.19,-29.30%,20.10%,0.99,85.59,Yes,0.19,Feb 06 AMC,24.30%,6.55M,85.33,2.00,5.64%,9.43%,11.21%,"6,464,226",-0.30%,0
MPC,Energy,Marathon Petroleum Corporation,0.178195,135.4,S&P500,4.77,28.44,0.20%,464.00M,5.22%,59.51B,10.03,13.53,-26.61%,440.70M,1.60%,14.44B,-,6.33,79.50%,2.77% / 3.10,16.54%,178.89B,0.33,-20.00%,-7.81%,12.21M,36.55%,59.73,2.27,15.80%,152.27,58.64%,26.83,5.06,-,55.60%,77.62 - 136.46,16.54%,3.00,4.70,49.30%,31.20%,-0.60%,1.63,2.21%,1.30,18.90%,15.20%,74.75%,4.47,17800,1.80,12.70%,12.00%,63.38,2.76% 3.38%,Yes,0.96,443.70%,8.10%,1.20,134.83,Yes,0.92,Jan 31 BMO,8.60%,3.94M,135.64,1.90,5.73%,6.90%,23.87%,"4,737,797",0.60%,0
PXD,Energy,Pioneer Natural Resources Company,0.141183,212.63,S&P500,6.88,31.01,0.66%,237.00M,9.75%,49.61B,9.12,23.39,0.04%,233.31M,1.69%,7.83B,-,5.20,92.50%,1.96% / 1.75,-4.54%,24.38B,2.03,261.20%,-1.21%,4.57M,2.62%,95.11,2.24,21.50%,256.30,-6.15%,5.18,41.20,-7.44%,33.70%,177.26 - 268.64,-4.54%,27.24,9.99,92.10%,28.80%,-20.57%,1.44,12.77%,0.80,35.70%,54.40%,20.37%,6.85,2076,1.00,-7.20%,41.70%,62.47,2.10% 3.21%,Yes,0.22,100.70%,32.10%,1.46,204.24,Yes,0.18,Feb 22 AMC,78.20%,2.61M,213.37,2.50,8.97%,2.55%,-3.16%,"3,800,028",4.47%,0
MCK,Health Care,McKesson Corporation,0.141937,363.62,S&P500,16.65,21.85,0.10%,139.90M,4.11%,50.05B,13.75,26.45,-15.79%,136.82M,5.24%,3.15B,1.40,5.90,89.30%,1.50% / 2.08,-3.03%,273.90B,0.18,125.70%,-1.24%,2.05M,7.03%,-17.55,-,5.00%,429.00,18.83%,20.16,18.04,11.87%,-147.80%,298.69 - 401.78,-3.03%,2.16,11.98,-20.80%,33.60%,-9.46%,0.58,0.59%,0.50,5.90%,4.60%,21.79%,6.70,58000,0.90,2.70%,1.50%,63.54,1.61% 1.95%,Yes,-,-,1.10%,1.03,356.05,Yes,-,Feb 01 AMC,8.90%,986.36K,363.77,1.90,5.84%,1.97%,1.64%,"1,015,432",2.17%,0
KLAC,Information Technology,KLA Corporation,0.160919,395.9,"NDX, S&P 500 NDQ100",16.40,24.32,0.30%,141.30M,6.68%,54.82B,20.82,19.17,-5.94%,138.09M,4.58%,3.54B,3.92,4.46,91.60%,1.69% / 2.00,5.82%,10.48B,5.23,63.90%,-4.60%,2.34M,31.84%,18.42,21.66,27.50%,432.05,9.00%,20.86,19.12,4.18%,139.00%,250.20 - 429.46,5.82%,5.20,23.86,30.10%,43.30%,-7.09%,1.38,1.30%,1.60,21.50%,62.40%,59.47%,12.69,14000,2.30,26.80%,39.70%,57.89,2.40% 3.30%,Yes,0.00,46.40%,33.80%,0.67,399.17,Yes,2.35,Jan 26 AMC,19.20%,1.17M,398.99,2.00,4.63%,1.84%,10.64%,"787,706",-0.05%,0
ORLY,Consumer Discretionary,O'Reilly Automotive Inc.,0.154449,870.5,"NDX, S&P 500 NDQ100",25.92,33.49,0.60%,62.55M,5.97%,53.20B,21.14,41.05,-21.42%,61.08M,3.57%,2.17B,2.48,9.87,85.60%,1.47% / 1.93,2.83%,14.41B,3.69,7.60%,-2.91%,0.90M,23.40%,-16.96,-,17.80%,897.71,26.72%,1.77,489.84,10.45%,-234.80%,562.90 - 873.94,2.83%,-,20.58,22.60%,70.30%,-0.69%,0.88,-,0.10,9.90%,51.20%,54.19%,14.72,71612,0.70,10.70%,20.50%,66.94,1.39% 1.70%,Yes,-,9.50%,15.10%,0.76,848.98,Yes,-,Feb 08 AMC,0.00%,464.63K,867.95,2.20,5.57%,5.60%,13.22%,"352,518",2.23%,0
HCA,Health Care,HCA Healthcare Inc,0.162482,263.82,S&P500,13.73,19.24,0.10%,280.64M,3.83%,72.06B,13.64,19.36,-31.25%,210.77M,5.67%,5.64B,1.89,4.27,66.80%,1.28% / 2.13,10.09%,60.23B,1.20,-9.50%,-2.41%,2.70M,43.73%,-9.86,-,10.90%,281.64,5.40%,3.33,79.36,7.25%,-190.50%,164.47 - 279.02,10.09%,2.40,20.74,23.10%,20.50%,-5.33%,1.65,0.91%,1.20,6.70%,84.40%,60.61%,5.39,207000,1.40,2.90%,14.90%,63.58,1.23% 2.24%,Yes,-,26.70%,9.40%,0.65,263.68,Yes,-,Apr 21 BMO,11.50%,1.27M,264.16,1.80,4.34%,3.89%,18.61%,"822,975",0.18%,0
ADM,Consumer Staples,Archer-Daniels-Midland Company,0.127186,79.91,S&P500,10.44,7.70,0.20%,553.00M,3.43%,43.84B,12.04,6.68,-27.08%,542.29M,-0.79%,4.34B,-,1.79,81.80%,1.16% / 1.86,-13.39%,101.56B,0.43,61.30%,-1.05%,6.31M,-0.04%,43.91,1.83,7.10%,102.92,-10.90%,1.90,42.28,-2.80%,18.00%,70.02 - 98.88,-13.39%,1.80,34.79,29.40%,9.80%,-18.67%,0.80,2.24%,0.90,10.80%,7.50%,14.85%,1.73,42000,1.50,12.30%,4.10%,55.74,1.46% 2.24%,Yes,0.38,33.10%,4.30%,0.62,79.66,Yes,0.32,Jan 26 BMO,20.70%,3.40M,80.42,2.20,3.29%,-0.11%,-5.37%,"2,094,480",0.95%,0
D,Utilities,Dominion Energy Inc,0.135624,56.0,S&P500,52.38,1.06,0.14%,833.80M,2.66%,46.23B,14.54,3.82,-0.55%,832.12M,-0.66%,892.00M,8.66,0.83,72.40%,0.82% / 1.37,-9.38%,17.17B,2.69,-66.10%,1.49%,6.83M,-19.59%,31.30,1.78,0.90%,61.82,-34.60%,-,-,6.05%,3.40%,52.03 - 88.78,-9.38%,2.67,-,-20.40%,2.10%,-37.41%,0.45,4.80%,0.60,6.40%,99.70%,6.81%,1.21,17200,0.70,26.60%,9.30%,49.98,1.55% 2.32%,Yes,1.75,-106.90%,5.20%,0.60,55.91,Yes,1.49,Feb 08 BMO,243.90%,4.98M,55.57,2.80,1.57%,-3.55%,-18.25%,"2,972,655",-0.61%,0
GIS,Consumer Staples,General Mills Inc.,0.147491,86.85,S&P500,18.55,4.63,0.20%,592.50M,1.23%,50.17B,19.19,4.48,-12.70%,584.30M,7.94%,2.80B,2.63,1.06,78.10%,2.12% / 3.47,2.47%,19.96B,2.51,16.90%,-0.49%,12.38M,12.15%,17.27,4.98,9.00%,83.59,26.88%,1.06,81.09,7.04%,27.00%,64.94 - 88.34,2.47%,2.16,39.57,9.80%,13.50%,-2.74%,0.25,2.51%,0.30,4.00%,33.00%,32.31%,1.47,32500,0.50,13.00%,18.70%,73.33,1.26% 1.75%,Yes,1.13,-14.40%,14.00%,0.95,85.46,Yes,0.80,Mar 23 BMO,45.50%,3.56M,85.92,3.10,5.49%,8.54%,9.27%,"3,380,369",0.54%,0
PSX,Energy,Phillips 66,0.13753,102.8,S&P500,4.49,22.93,0.20%,471.86M,6.94%,47.09B,7.75,13.27,0.73%,461.58M,-2.93%,11.01B,0.15,4.43,73.50%,2.39% / 3.02,-1.12%,169.99B,0.28,683.90%,-1.76%,11.05M,27.49%,62.51,1.65,15.90%,126.00,19.12%,13.40,7.68,30.30%,42.40%,74.02 - 113.53,-1.12%,4.20,6.90,38.30%,19.90%,-9.35%,1.38,4.08%,1.20,10.60%,11.80%,39.03%,3.26,13000,1.40,23.50%,5.60%,59.04,2.54% 3.20%,Yes,0.58,37.50%,6.50%,1.14,101.38,Yes,0.56,Jan 31 BMO,16.60%,3.66M,102.91,2.30,5.33%,1.43%,7.25%,"4,187,569",1.51%,1
AEP,Utilities,American Electric Power Company Inc.,0.13588,91.21,"NDX, S&P 500 NDQ100",20.20,4.50,0.03%,513.88M,2.65%,46.42B,16.12,5.64,-30.24%,513.70M,2.03%,2.31B,3.50,1.24,75.70%,1.26% / 2.20,-4.27%,19.64B,2.36,-9.40%,0.34%,6.47M,5.15%,46.59,1.95,2.50%,103.55,-8.89%,1.36,66.61,5.76%,9.60%,80.30 - 105.60,-4.27%,3.32,13.11,3.30%,5.40%,-13.92%,0.45,3.65%,0.60,4.90%,63.90%,13.20%,2.05,16974,0.60,20.20%,17.70%,53.57,1.63% 2.40%,Yes,1.67,-30.10%,11.70%,1.00,90.99,Yes,1.41,Feb 23 BMO,70.30%,2.94M,90.90,2.30,1.59%,0.38%,-3.04%,"2,926,216",-0.10%,0
SRE,Utilities,Sempra Energy,0.138102,143.91,S&P500,22.60,6.62,0.04%,314.73M,3.64%,46.56B,15.60,9.59,-29.15%,310.78M,-0.87%,2.09B,5.46,1.87,89.10%,1.11% / 2.54,-3.21%,14.44B,3.22,65.20%,-0.49%,3.45M,-0.24%,83.33,1.80,2.70%,170.08,-11.03%,1.19,125.83,4.14%,8.10%,136.54 - 176.47,-3.21%,4.76,-,13.00%,3.20%,-15.24%,0.74,3.18%,0.60,8.50%,-,9.55%,3.21,15785,0.60,-10.10%,15.90%,52.34,1.51% 2.14%,Yes,1.10,-26.70%,14.50%,1.14,151.16,Yes,0.94,Feb 28 BMO,68.30%,1.36M,149.58,2.20,2.19%,-1.91%,-4.21%,"1,554,971",-1.05%,0
SNPS,Information Technology,Synopsys Inc.,0.171378,386.89,"NDX, S&P 500 NDQ100",64.29,6.05,0.20%,152.40M,4.02%,57.66B,32.13,12.11,-18.92%,151.48M,5.83%,942.40M,3.79,2.45,92.70%,1.24% / 2.36,21.81%,5.17B,11.15,30.70%,0.57%,1.87M,27.31%,36.99,10.51,10.00%,427.64,16.70%,8.78,44.28,16.97%,16.90%,255.02 - 391.17,21.81%,-,36.97,48.10%,18.50%,-0.57%,1.18,-,1.00,13.30%,78.90%,52.51%,8.88,19000,1.10,7.20%,20.70%,65.00,1.90% 2.51%,Yes,0.00,-12.20%,18.20%,1.06,386.25,Yes,0.00,Feb 15 AMC,0.00%,793.86K,388.94,1.70,4.91%,6.75%,16.30%,"843,214",0.70%,0
VLO,Energy,Valero Energy Corporation,0.156429,139.06,S&P500,4.76,29.12,0.20%,380.00M,5.04%,50.01B,8.59,16.12,-5.16%,365.74M,-1.87%,11.48B,-,6.81,82.50%,3.46% / 3.02,9.20%,176.38B,0.28,-19.20%,-1.46%,12.66M,29.65%,62.00,2.23,18.70%,162.88,36.43%,13.47,10.29,-,53.90%,96.71 - 150.39,9.20%,4.08,4.56,42.50%,34.30%,-7.89%,1.65,2.95%,1.00,13.40%,9.50%,43.24%,4.95,9716,1.40,16.30%,8.80%,58.31,3.28% 3.70%,Yes,0.49,229.00%,6.50%,1.49,139.60,Yes,0.45,Apr 27 BMO,13.50%,4.19M,138.53,1.90,4.73%,2.49%,12.99%,"6,266,056",-0.77%,0
MET,Financials,MetLife Inc.,0.110976,58.18,S&P500,22.80,2.54,0.10%,783.70M,3.80%,44.20B,6.33,9.15,-12.49%,659.31M,-17.57%,2.35B,3.75,2.10,75.50%,1.49% / 1.93,-19.90%,69.90B,0.63,-62.90%,-0.79%,9.82M,-4.62%,34.50,1.68,0.30%,81.14,-17.52%,26.49,2.19,6.09%,6.60%,52.83 - 77.36,-19.90%,2.00,3.81,-8.70%,7.80%,-25.06%,1.07,3.45%,-,2.30%,-,9.73%,1.87,45000,-,-18.80%,5.40%,40.79,1.59% 3.30%,Yes,0.66,-8.50%,3.40%,0.95,57.94,Yes,0.66,Feb 01 AMC,67.00%,5.08M,57.97,2.10,-2.03%,-12.80%,-13.94%,"4,839,969",0.05%,0
GM,Consumer Discretionary,General Motors Company,0.148918,36.22,S&P500,5.91,6.13,0.20%,1.42B,5.28%,49.63B,5.72,6.34,-1.22%,1.35B,-11.56%,8.91B,0.38,1.62,82.80%,2.23% / 1.94,7.82%,156.74B,0.32,-8.50%,-3.27%,30.16M,13.03%,47.91,0.76,3.50%,48.59,-17.08%,22.88,1.59,15.70%,13.80%,30.33 - 44.45,7.82%,0.36,7.75,3.30%,4.30%,-18.40%,1.36,0.99%,0.90,1.50%,13.40%,19.58%,1.17,167000,1.10,28.40%,6.20%,49.47,2.07% 3.00%,Yes,1.69,20.80%,5.70%,0.70,36.68,Yes,1.12,Apr 25 BMO,2.90%,15.51M,36.27,2.30,1.42%,-5.06%,-1.79%,"10,873,107",-1.12%,1
AIG,Financials,American International Group Inc.,0.108749,50.19,S&P500,3.94,12.79,0.32%,744.82M,6.24%,36.77B,6.85,7.36,0.00%,729.88M,-16.25%,10.25B,0.25,1.57,92.00%,1.00% / 1.34,-20.27%,56.44B,0.65,20.20%,-3.10%,7.28M,6.19%,53.06,0.95,1.90%,70.00,-19.68%,2.80,18.00,15.98%,23.00%,45.66 - 65.73,-20.27%,1.28,11.40,81.60%,18.60%,-23.29%,1.15,2.54%,-,2.60%,-,10.42%,1.70,26200,-,-17.80%,27.30%,43.48,1.49% 3.41%,Yes,0.69,-92.10%,18.20%,0.79,50.36,Yes,0.63,Feb 15 AMC,9.90%,5.44M,50.42,2.30,-1.03%,-11.84%,-10.07%,"4,321,962",0.12%,1
