,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
NVDA,Information Technology,NVIDIA Corporation,1.374948,189.16,S&P500 NDQ100,50.95,3.73,0.30%,2.51B,4.55%,464.98B,30.33,6.26,-11.35%,2.40B,19.74%,9.46B,2.23,1.25,65.90%,1.50%,0.77%,29.54B,15.74,123.10%,-0.01%,0.65,-20.71%,10.50,18.08,22.40%,241.54,-7.99%,8.31,22.86,22.80%,38.70%,140.55 - 346.47,-35.44%,0.16,61.78,43.10%,26.20%,-45.19%,1.65,0.08%,4.70,31.30%,65.30%,35.10%,7.74,22473,5.30,46.40%,33.70%,64.20,3.95% 4.27%,Yes,0.00,-15.70%,32.00%,0.69,192.15,Yes,0.42,Aug 24 AMC,4.20%,55.64M,189.89,2.00,11.30%,12.03%,-18.08%,"38,551,685",-1.18%,1
PG,Consumer Staples,Procter & Gamble Company,0.991772,144.52,DJIA S&P500,25.29,5.72,0.12%,2.40B,4.18%,364.05B,22.23,6.51,-4.95%,2.40B,-0.88%,14.31B,5.61,1.59,65.70%,0.57%,-6.31%,79.62B,4.57,10.90%,-0.15%,1.80,-11.83%,18.59,7.78,11.80%,157.57,1.56%,3.39,42.70,4.50%,31.80%,129.50 - 165.35,-11.53%,3.65,58.14,9.50%,18.30%,-12.48%,0.38,2.52%,0.50,3.10%,48.30%,11.75%,3.13,101000,0.70,7.00%,22.00%,51.83,2.35% 1.90%,Yes,0.75,5.10%,17.90%,0.61,144.65,Yes,0.53,Jul 29 BMO,58.10%,7.52M,144.72,2.40,0.51%,1.05%,-4.42%,"4,576,716",0.05%,1
JPM,Financials,JPMorgan Chase & Co.,0.943036,115.7,DJIA S&P500,9.29,12.46,0.10%,2.98B,0.35%,339.64B,9.21,12.57,-0.87%,2.91B,0.91%,37.20B,8.68,2.96,71.10%,0.61%,-6.58%,63.64B,5.34,73.10%,0.20%,1.34,-22.15%,85.01,1.36,1.20%,139.49,-24.41%,575.44,0.20,1.07%,18.20%,106.06 - 172.96,-26.90%,4.00,5.08,19.90%,6.30%,-33.07%,1.12,3.46%,-,0.70%,-,9.15%,2.86,273948,-,8.60%,96.70%,52.61,2.32% 2.31%,Yes,1.16,-41.50%,73.10%,1.07,112.36,Yes,1.16,Jul 14 BMO,24.10%,13.21M,115.76,2.40,1.96%,-1.72%,-17.51%,"14,163,282",3.03%,1
V,Information Technology,Visa Inc. Class A,1.003936,213.8,DJIA S&P500,33.13,6.52,0.18%,2.08B,1.77%,444.35B,25.63,8.42,-2.02%,1.63B,6.44%,14.27B,1.73,1.86,97.70%,2.10%,5.18%,28.08B,15.82,15.10%,0.10%,5.02,-6.77%,15.69,13.76,17.20%,259.96,-10.13%,8.43,25.60,19.20%,42.80%,185.91 - 242.60,-0.39%,1.50,34.30,17.80%,21.70%,-11.02%,0.89,0.69%,1.40,9.80%,80.70%,16.12%,5.76,21500,1.40,18.70%,64.20%,60.71,2.56% 2.68%,Yes,0.73,35.90%,50.80%,0.81,213.47,Yes,0.63,Jul 26 AMC,21.20%,6.83M,215.87,1.80,2.85%,5.04%,2.22%,"5,542,123",1.12%,1
PFE,Health Care,Pfizer Inc.,0.799454,49.22,S&P500,9.50,5.19,0.04%,5.62B,-2.45%,284.33B,9.26,5.32,-5.63%,5.61B,-7.77%,29.75B,-,1.57,69.10%,1.20%,1.69%,101.13B,2.81,233.60%,-0.14%,3.15,-7.70%,14.67,3.36,12.30%,58.40,9.34%,4.14,11.90,-1.60%,28.80%,40.94 - 61.71,-16.56%,1.60,13.45,27.40%,18.90%,-20.16%,0.68,3.25%,1.10,9.00%,62.20%,20.35%,1.22,79000,1.40,76.80%,23.40%,38.16,2.21% 2.28%,Yes,0.44,58.80%,21.70%,0.76,49.86,Yes,0.43,Jul 28 BMO,39.80%,21.35M,49.27,2.30,-3.92%,-4.05%,-4.13%,"16,263,704",-1.18%,1
HD,Consumer Discretionary,Home Depot Inc.,0.907069,309.44,DJIA S&P500,19.66,15.75,0.10%,1.03B,2.91%,316.14B,17.87,17.33,-1.01%,1.03B,8.02%,16.52B,1.35,4.95,71.10%,0.76%,3.54%,152.56B,2.07,30.10%,-0.09%,1.93,-15.11%,-1.66,-,22.60%,347.99,-7.03%,2.79,111.16,14.60%,-,264.51 - 420.61,-25.38%,7.60,76.51,19.20%,46.20%,-26.37%,1.00,2.45%,0.30,9.80%,33.60%,17.08%,6.97,490600,1.10,3.80%,15.20%,65.18,2.16% 2.19%,Yes,-,6.10%,10.80%,0.50,307.17,Yes,-,Aug 16 BMO,43.30%,4.05M,309.69,2.10,3.96%,6.28%,-7.85%,"2,026,915",0.82%,1
CVX,Energy,Chevron Corporation,0.848615,153.75,DJIA S&P500,14.45,10.63,0.07%,1.94B,-6.19%,275.11B,9.71,15.82,-57.70%,1.91B,7.05%,20.51B,0.60,5.15,71.90%,1.04%,-7.59%,176.84B,1.56,374.50%,0.52%,1.89,14.49%,75.54,2.03,6.40%,175.84,51.77%,6.54,23.51,24.14%,11.30%,92.86 - 182.40,30.92%,5.68,25.12,100.80%,6.70%,-15.77%,1.11,3.70%,1.20,7.10%,40.90%,65.45%,5.03,42595,1.40,66.90%,10.00%,53.06,2.90% 2.79%,Yes,0.20,347.80%,8.80%,0.68,151.14,Yes,0.20,Jul 29 BMO,65.10%,10.56M,153.64,2.30,4.50%,-1.44%,7.29%,"7,162,572",1.65%,1
MA,Information Technology,Mastercard Incorporated Class A,0.875246,355.05,S&P500,36.23,9.87,10.80%,971.00M,1.05%,337.39B,28.28,12.64,-1.58%,863.98M,10.32%,9.70B,1.59,2.59,78.10%,0.62%,1.17%,20.86B,16.17,37.40%,0.11%,1.76,-8.35%,6.36,56.21,26.50%,419.46,-3.88%,6.74,53.06,22.84%,142.50%,303.65 - 399.92,-0.50%,1.96,43.90,18.90%,39.90%,-10.60%,1.04,0.55%,1.30,11.90%,-,17.74%,9.02,24000,1.30,21.40%,55.20%,67.07,2.34% 2.57%,Yes,2.35,12.40%,46.50%,0.60,356.07,Yes,2.23,Jul 28 BMO,18.80%,3.06M,357.51,1.80,5.16%,6.19%,2.65%,"1,846,993",0.40%,1
ABBV,Health Care,AbbVie Inc.,0.701519,138.23,S&P500,19.80,6.97,0.10%,1.77B,-3.81%,256.92B,11.53,11.97,-30.51%,1.77B,-9.18%,12.40B,118.56,3.66,71.40%,0.79%,-9.29%,56.73B,4.53,137.00%,0.75%,2.22,-1.91%,9.19,15.02,7.80%,162.28,19.91%,4.07,33.93,0.17%,79.30%,105.56 - 175.91,1.95%,5.64,20.18,12.20%,17.90%,-21.53%,0.71,4.09%,0.70,17.00%,69.80%,30.77%,3.51,50000,0.80,4.10%,31.60%,29.38,2.10% 2.13%,Yes,4.51,26.20%,20.20%,0.85,138.92,Yes,3.90,Jul 29 BMO,80.30%,6.31M,138.04,2.20,-6.86%,-6.70%,-2.46%,"5,365,579",-0.63%,1
LLY,Health Care,Eli Lilly and Company,0.68914,301.2,S&P500,44.71,6.74,11.10%,903.70M,-8.61%,285.65B,31.58,9.54,-3.30%,898.30M,-8.12%,6.13B,3.09,1.69,84.10%,0.61%,3.06%,29.32B,9.74,-9.80%,-0.22%,1.86,23.08%,10.33,29.17,12.80%,335.00,14.05%,2.71,111.22,14.46%,75.40%,220.20 - 335.33,9.09%,3.92,81.85,18.90%,20.80%,-10.14%,0.36,1.30%,1.00,5.90%,74.40%,36.84%,7.61,35000,1.30,14.80%,24.60%,33.03,2.59% 2.25%,Yes,1.77,41.30%,20.90%,0.96,305.79,Yes,1.62,Aug 04 BMO,52.10%,2.93M,301.32,2.00,-7.40%,-4.73%,7.98%,"2,812,501",-1.46%,1
KO,Consumer Staples,Coca-Cola Company,0.709875,63.32,DJIA S&P500,28.81,2.20,0.10%,4.33B,-1.23%,269.14B,24.29,2.61,-16.26%,4.30B,0.75%,9.57B,5.23,0.64,71.10%,0.80%,-1.75%,41.32B,6.51,25.60%,0.30%,2.01,2.87%,5.31,11.94,10.30%,69.21,12.18%,2.74,23.16,5.50%,41.20%,52.28 - 67.20,7.04%,1.76,96.02,8.50%,12.60%,-5.68%,0.55,2.78%,1.00,-1.60%,58.90%,21.23%,1.07,79000,1.10,11.80%,26.30%,52.89,1.50% 1.57%,Yes,1.82,-28.10%,23.20%,0.61,63.67,Yes,1.60,Jul 26 BMO,57.80%,17.04M,63.38,2.10,0.86%,1.26%,4.51%,"10,432,865",-0.46%,1
PEP,Consumer Staples,PepsiCo Inc.,0.694907,174.53,S&P500 NDQ100,25.74,6.78,0.10%,1.38B,-0.23%,236.25B,24.28,7.19,-2.41%,1.38B,2.46%,9.43B,3.24,1.83,73.90%,0.79%,2.44%,81.86B,2.89,9.90%,-0.05%,2.12,-0.47%,13.42,13.01,9.90%,181.53,13.12%,4.21,41.51,7.95%,53.80%,149.48 - 177.69,0.48%,4.60,641.99,5.20%,16.30%,-1.77%,0.57,2.64%,0.60,4.80%,53.30%,16.77%,2.86,309000,0.80,5.20%,15.80%,58.78,1.42% 1.61%,Yes,2.12,-39.40%,11.30%,0.64,175.87,Yes,1.79,Jul 12 BMO,65.50%,5.13M,174.55,2.40,1.57%,4.04%,4.05%,"3,286,832",-0.75%,1
MRK,Health Care,Merck & Co. Inc.,0.627404,87.26,DJIA S&P500,13.33,6.56,0.10%,2.53B,-2.16%,225.72B,11.75,7.44,0.00%,2.53B,-6.02%,16.64B,1.20,1.78,75.20%,0.80%,-0.68%,57.17B,3.95,173.50%,0.17%,1.80,10.63%,16.17,5.41,13.20%,99.74,15.64%,3.46,25.28,11.07%,35.20%,70.89 - 95.72,14.05%,2.76,73.98,28.20%,15.50%,-8.68%,0.34,3.16%,1.10,4.10%,71.60%,23.30%,1.81,68000,1.40,49.60%,21.90%,37.03,1.77% 1.95%,Yes,0.78,57.20%,22.80%,0.78,86.82,Yes,0.75,Jul 28 BMO,51.20%,11.32M,87.41,2.20,-3.99%,-3.52%,4.60%,"8,794,034",0.68%,1
BAC,Financials,Bank of America Corp,0.676685,33.97,S&P500,10.58,3.21,0.10%,8.14B,0.44%,271.10B,9.03,3.76,0.00%,8.03B,6.59%,26.57B,1.52,0.80,71.40%,0.87%,-9.54%,52.76B,5.14,90.70%,0.07%,1.53,-26.86%,29.43,1.15,1.00%,42.25,-12.97%,118.17,0.29,6.97%,12.40%,29.67 - 50.11,-23.67%,0.88,-,19.10%,6.10%,-32.23%,1.41,2.59%,-,-1.40%,-,14.46%,0.88,208000,-,13.20%,90.10%,56.81,2.15% 2.52%,Yes,2.16,-6.80%,57.90%,0.78,33.40,Yes,1.13,Jul 18 BMO,21.70%,45.93M,33.96,2.20,3.67%,1.95%,-17.12%,"35,819,245",1.68%,0
VZ,Communication Services,Verizon Communications Inc.,0.53321,44.9,DJIA S&P500,9.03,4.98,0.06%,4.20B,-2.68%,183.56B,8.51,5.28,-1.31%,4.20B,-11.36%,20.80B,2.69,1.28,64.50%,1.00%,-6.04%,134.32B,1.37,23.70%,0.22%,2.06,-16.43%,20.48,2.19,5.70%,53.57,-18.72%,0.45,98.85,3.35%,25.30%,43.76 - 56.20,-13.49%,2.56,44.99,10.60%,10.50%,-20.02%,0.32,5.70%,0.70,1.20%,57.30%,2.71%,0.98,118400,0.80,0.10%,22.10%,33.38,1.60% 1.91%,Yes,1.73,-11.60%,15.50%,0.85,44.43,Yes,1.58,Jul 22 BMO,51.10%,20.45M,44.95,2.80,-5.70%,-9.28%,-12.57%,"17,286,953",1.17%,1
COST,Consumer Staples,Costco Wholesale Corporation,0.688104,540.4,S&P500 NDQ100,42.58,12.70,0.21%,443.70M,-0.12%,231.09B,37.29,14.50,-1.51%,442.03M,9.24%,5.65B,3.11,4.11,69.30%,0.83%,4.51%,217.54B,1.06,25.00%,0.28%,1.27,3.62%,45.00,12.01,9.00%,553.92,22.00%,27.68,19.53,13.69%,29.90%,406.51 - 612.27,-4.76%,3.60,85.56,16.20%,19.60%,-11.69%,0.68,0.67%,0.50,10.50%,12.40%,33.00%,11.46,288000,1.00,16.20%,3.50%,63.15,1.60% 2.12%,Yes,0.33,10.70%,2.60%,0.59,543.28,Yes,0.33,Aug 03 AMC,24.80%,2.89M,540.67,2.20,3.38%,10.27%,4.18%,"1,708,807",-0.48%,1
TMO,Health Care,Thermo Fisher Scientific Inc.,0.660031,590.26,S&P500,31.38,18.81,0.10%,392.00M,-1.36%,224.70B,24.02,24.57,-25.54%,389.98M,6.59%,7.44B,3.03,4.87,90.90%,0.70%,7.22%,42.82B,5.25,21.80%,-0.27%,2.03,-0.78%,104.48,5.65,9.40%,662.93,8.83%,7.62,77.43,10.37%,19.60%,497.83 - 672.34,-11.54%,1.20,35.14,30.70%,10.80%,-12.21%,0.83,0.20%,1.10,16.50%,46.90%,18.57%,14.74,130000,1.60,19.30%,21.60%,62.06,1.74% 2.63%,Yes,0.81,-4.50%,18.00%,0.73,590.00,Yes,0.77,Jul 28 BMO,5.10%,1.35M,590.26,1.90,5.07%,7.57%,1.59%,"981,452",0.04%,0
AVGO,Information Technology,Broadcom Inc.,0.644984,550.7,S&P500 NDQ100,27.32,20.18,0.10%,408.00M,2.98%,219.48B,13.81,39.94,-7.85%,394.30M,10.61%,8.63B,2.01,9.56,83.30%,1.26%,-4.92%,29.99B,7.32,137.10%,0.18%,2.13,-5.06%,51.38,10.73,11.60%,671.52,13.08%,22.62,24.37,13.60%,37.00%,462.66 - 677.76,-17.13%,16.40,28.17,40.00%,12.80%,-18.64%,1.11,2.97%,1.90,15.70%,64.40%,19.19%,12.53,20000,2.10,22.60%,37.40%,67.22,1.95% 2.26%,Yes,1.88,79.60%,28.80%,0.62,552.80,Yes,1.87,May 26 BMO,73.30%,2.33M,551.44,1.80,7.56%,5.98%,-3.17%,"1,434,411",-0.25%,1
ABT,Health Care,Abbott Laboratories,0.548992,108.35,S&P500,22.70,4.81,0.50%,1.76B,0.38%,193.31B,23.33,4.68,-1.60%,1.74B,-0.22%,8.55B,2.06,0.93,75.50%,0.82%,-3.33%,45.55B,4.24,57.00%,0.09%,2.71,-16.03%,20.09,5.44,9.50%,127.91,-10.60%,4.61,23.70,11.00%,20.30%,101.24 - 142.60,-22.37%,1.88,35.50,40.70%,13.50%,-23.39%,0.72,1.72%,1.40,15.60%,58.10%,7.91%,2.12,113000,1.90,13.80%,18.50%,50.28,1.44% 1.77%,Yes,0.48,37.80%,15.50%,0.53,109.72,Yes,0.48,Jul 20 BMO,45.20%,5.24M,109.25,2.00,0.39%,-0.45%,-9.44%,"2,787,650",-0.43%,1
MCD,Consumer Discretionary,McDonald's Corporation,0.550827,259.13,DJIA S&P500,31.94,8.12,0.16%,742.60M,-1.57%,188.45B,24.42,10.61,-2.06%,738.37M,2.49%,6.08B,4.45,2.60,69.60%,0.83%,4.14%,23.59B,7.99,59.10%,-0.14%,2.20,-0.54%,-8.07,-,14.40%,279.68,9.65%,-,-,7.17%,-136.70%,217.68 - 271.15,-3.30%,5.52,59.21,13.00%,28.30%,-4.40%,0.56,2.13%,1.10,-1.20%,55.30%,19.09%,4.31,200000,1.10,10.60%,43.90%,56.63,1.33% 1.62%,Yes,-,-27.80%,32.00%,0.66,260.64,Yes,-,Jul 26 BMO,51.90%,2.77M,259.23,2.10,1.06%,3.73%,3.54%,"1,817,122",-0.54%,1
CMCSA,Communication Services,Comcast Corporation Class A,0.497343,38.21,S&P500 NDQ100,12.49,3.06,0.10%,4.46B,2.00%,198.18B,9.78,3.91,-1.42%,4.44B,-4.18%,14.04B,1.19,0.91,85.30%,1.53%,-5.23%,121.66B,1.63,33.50%,0.24%,2.81,-22.90%,20.51,1.87,5.10%,48.91,-34.40%,1.32,29.05,10.47%,14.90%,36.57 - 61.80,-23.96%,1.08,14.95,11.30%,7.90%,-38.07%,0.95,2.82%,0.90,7.60%,67.30%,4.64%,1.20,189000,0.90,5.10%,18.30%,40.39,2.13% 2.48%,Yes,1.08,-5.30%,11.50%,0.86,38.93,Yes,1.06,Jul 28 BMO,33.60%,24.21M,38.27,2.20,-5.02%,-6.10%,-17.59%,"20,731,141",-1.70%,0
ACN,Information Technology,Accenture Plc Class A,0.562225,309.35,S&P500,30.01,10.31,0.10%,632.75M,1.01%,190.10B,25.71,12.03,-4.20%,599.56M,10.72%,6.63B,2.37,2.57,77.40%,0.64%,3.57%,59.59B,3.19,16.00%,-0.16%,1.69,-10.48%,33.80,9.15,15.00%,350.05,-3.42%,10.92,28.34,12.67%,32.40%,261.77 - 417.37,-25.38%,3.88,37.93,7.30%,29.90%,-25.88%,1.22,1.25%,1.30,7.70%,32.30%,18.18%,6.99,624000,1.30,21.80%,15.00%,66.24,1.95% 2.29%,Yes,0.00,16.10%,11.10%,0.67,310.61,Yes,0.00,Jun 23 BMO,36.20%,2.25M,309.35,-,7.52%,7.48%,-5.94%,"1,502,712",-0.41%,0
CSCO,Information Technology,Cisco Systems Inc.,0.538714,45.0,DJIA S&P500 NDQ100,15.79,2.85,0.10%,4.15B,-0.79%,183.39B,12.74,3.53,-1.11%,4.14B,4.14%,12.01B,2.44,0.82,75.30%,0.91%,-9.27%,51.58B,3.56,-5.20%,0.29%,1.58,-18.46%,9.73,4.63,12.60%,53.42,-19.28%,4.94,9.12,6.47%,29.30%,40.82 - 64.29,-28.97%,1.52,25.00,3.40%,19.20%,-29.98%,0.96,3.38%,1.40,0.20%,63.10%,10.26%,0.92,79500,1.50,0.20%,27.40%,54.55,1.76% 1.95%,Yes,0.23,8.10%,23.30%,0.82,45.38,Yes,0.21,Aug 17 AMC,51.70%,23.84M,45.01,2.50,2.01%,2.30%,-14.49%,"19,518,127",-0.82%,1
DIS,Communication Services,Walt Disney Company,0.562787,107.2,DJIA S&P500,72.10,1.48,0.14%,1.82B,0.50%,189.47B,19.79,5.39,-0.01%,1.82B,9.44%,2.71B,1.81,0.97,64.90%,1.15%,-5.31%,76.62B,2.47,170.70%,0.02%,1.73,-23.85%,49.75,2.14,1.30%,142.55,-39.66%,7.47,14.28,39.80%,3.00%,90.23 - 187.58,-31.16%,-,122.16,-28.00%,2.20%,-43.15%,1.25,-,1.00,3.90%,33.80%,18.18%,2.85,190000,1.10,23.30%,7.40%,59.66,2.40% 2.48%,Yes,0.57,-48.40%,3.50%,0.83,108.12,Yes,0.51,Aug 10 AMC,0.00%,12.05M,106.63,2.00,5.91%,6.18%,-19.48%,"10,009,595",-1.38%,0
