,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
PG,Consumer Staples,Procter & Gamble Company,1.034918,139.19,DJIA S&P500,24.28,5.72,0.12%,2.40B,-2.87%,328.04B,22.89,6.07,-10.23%,2.40B,-2.31%,14.31B,5.28,1.23,65.80%,0.57%,-14.99%,79.62B,4.12,10.90%,0.00%,1.82,-12.71%,18.59,7.47,11.90%,159.54,-0.41%,3.61,38.48,4.60%,32.00%,129.50 - 165.35,-15.08%,3.65,27.86,9.50%,18.30%,-15.99%,0.37,2.63%,0.50,3.10%,48.30%,7.27%,3.18,101000,0.70,7.00%,22.30%,40.57,2.14% 1.80%,Yes,0.75,5.10%,18.00%,2.51,148.06,Yes,0.53,Jul 29 BMO,58.80%,7.44M,138.91,2.40,-3.97%,-3.21%,-8.26%,"18,676,675",-6.18%
JPM,Financials,JPMorgan Chase & Co.,0.982365,115.1,DJIA S&P500,9.26,12.46,0.10%,2.98B,0.52%,340.47B,9.18,12.57,-0.86%,2.91B,0.05%,37.20B,8.65,2.96,71.10%,0.61%,-6.47%,63.64B,5.35,73.10%,0.19%,1.34,-20.61%,85.01,1.36,1.20%,139.04,-24.60%,572.05,0.20,1.07%,18.20%,106.06 - 172.96,-27.15%,4.00,5.09,19.90%,6.30%,-33.30%,1.13,3.47%,-,0.70%,-,8.77%,2.88,273948,-,8.60%,96.70%,50.59,1.91% 2.33%,Yes,1.16,-41.50%,73.10%,0.97,114.81,Yes,1.16,Jul 14 BMO,24.10%,13.28M,115.36,2.40,1.70%,-2.63%,-18.53%,"12,934,626",0.48%
V,Information Technology,Visa Inc. Class A,1.013318,212.11,DJIA S&P500,34.81,6.09,0.18%,2.09B,-0.74%,447.01B,25.28,8.39,-2.25%,1.63B,6.32%,13.45B,1.91,1.74,97.20%,2.10%,-3.87%,26.94B,16.59,15.10%,0.11%,5.05,2.89%,15.78,13.44,16.30%,261.86,-14.44%,6.42,33.04,18.21%,39.80%,185.91 - 250.38,-2.12%,1.50,36.42,17.80%,21.70%,-15.28%,0.91,0.71%,1.30,9.80%,80.60%,14.09%,5.67,21500,1.30,25.50%,66.70%,57.44,3.05% 2.68%,Yes,0.64,23.40%,49.90%,0.89,211.35,Yes,0.53,Jul 26 AMC,21.80%,6.78M,212.11,1.80,2.30%,3.65%,0.24%,"6,057,975",0.36%
PFE,Health Care,Pfizer Inc.,0.829077,50.52,S&P500,11.39,4.43,0.04%,5.62B,-1.41%,282.80B,9.25,5.46,-5.80%,5.61B,-0.84%,25.42B,-,1.80,69.10%,1.20%,0.00%,92.37B,3.06,233.60%,-0.10%,3.03,-5.36%,14.67,3.44,14.00%,58.59,18.04%,4.27,11.83,-0.80%,32.70%,40.94 - 61.71,-14.46%,1.60,12.31,27.40%,18.90%,-18.15%,0.70,3.17%,1.10,9.00%,60.40%,23.38%,1.30,79000,1.40,76.80%,30.30%,44.49,2.96% 2.37%,Yes,0.44,58.80%,27.00%,1.13,50.72,Yes,0.43,Jul 28 BMO,35.30%,22.19M,50.51,2.30,-2.64%,-1.91%,-1.31%,"25,033,089",-0.41%
HD,Consumer Discretionary,Home Depot Inc.,0.902032,300.94,DJIA S&P500,19.10,15.75,0.10%,1.03B,-1.84%,307.69B,17.36,17.33,-1.01%,1.03B,9.88%,16.52B,1.31,4.95,71.20%,0.76%,-3.47%,152.56B,2.02,30.10%,-0.07%,1.90,-15.57%,-1.66,-,22.60%,347.99,-8.09%,2.78,108.19,14.60%,-,264.51 - 420.61,-27.49%,7.60,74.47,19.20%,46.20%,-28.45%,1.01,2.53%,0.30,9.80%,33.60%,13.77%,7.05,490600,1.10,3.80%,15.20%,59.90,1.96% 2.28%,Yes,-,6.10%,10.80%,0.78,299.63,Yes,-,May 17 BMO,43.30%,4.13M,300.94,2.10,2.99%,3.80%,-10.73%,"3,233,752",0.44%
CVX,Energy,Chevron Corporation,0.860845,163.78,DJIA S&P500,15.40,10.63,0.07%,1.94B,13.59%,324.50B,10.36,15.81,-55.15%,1.91B,11.43%,20.51B,0.64,5.08,71.90%,1.04%,1.23%,176.84B,1.83,374.50%,0.39%,1.87,20.99%,75.54,2.17,8.40%,175.70,59.68%,5.91,27.73,24.14%,14.80%,92.86 - 182.40,39.57%,5.68,22.66,100.80%,6.70%,-10.21%,1.11,3.47%,1.20,7.10%,40.90%,76.37%,5.27,42595,1.40,66.90%,12.90%,67.76,3.25% 2.88%,Yes,0.20,347.80%,11.60%,1.61,150.39,Yes,0.20,Jul 29 BMO,51.00%,10.63M,163.78,2.30,14.18%,4.28%,15.37%,"17,129,744",8.90%
MA,Information Technology,Mastercard Incorporated Class A,0.883211,353.4,S&P500,36.81,9.61,10.80%,977.00M,2.88%,347.15B,27.96,12.65,-1.54%,859.34M,9.67%,9.49B,1.65,2.35,78.10%,0.62%,-6.61%,19.90B,17.45,37.40%,0.08%,1.72,0.93%,7.20,49.14,26.20%,419.92,-9.01%,7.47,47.37,22.36%,138.10%,303.65 - 399.92,-1.54%,1.96,46.21,18.90%,39.90%,-11.53%,1.04,0.55%,1.30,11.90%,-,16.51%,9.21,24000,1.30,24.40%,54.50%,66.86,2.83% 2.61%,Yes,2.08,46.40%,47.70%,1.02,352.45,Yes,1.97,Jul 28 BMO,18.80%,3.12M,353.79,1.80,6.68%,5.54%,1.61%,"3,173,019",0.38%
ABBV,Health Care,AbbVie Inc.,0.770932,143.6,S&P500,20.58,6.97,0.10%,1.77B,-3.34%,252.37B,11.99,11.97,-31.72%,1.77B,-6.90%,12.40B,56.09,3.33,71.50%,0.79%,-8.19%,56.73B,4.45,137.00%,0.83%,2.17,5.55%,9.19,15.62,8.50%,162.42,20.73%,4.31,33.33,0.37%,85.80%,105.56 - 175.91,5.99%,5.64,20.06,12.20%,17.90%,-18.42%,0.72,3.93%,0.70,17.00%,69.80%,35.95%,3.83,50000,0.80,4.10%,32.70%,35.70,2.94% 2.13%,Yes,4.51,26.20%,21.90%,2.75,149.75,Yes,3.90,Jul 29 BMO,75.90%,6.45M,143.51,2.20,-5.13%,-3.70%,1.99%,"17,748,594",-4.17%
LLY,Health Care,Eli Lilly and Company,0.760019,329.1,S&P500,48.92,6.74,11.10%,903.70M,0.29%,311.51B,34.70,9.50,-3.31%,898.30M,2.07%,6.13B,3.38,1.70,84.10%,0.61%,10.91%,29.32B,10.62,-9.80%,-0.18%,1.91,39.27%,10.33,31.92,12.80%,329.42,34.39%,2.72,121.29,14.46%,75.40%,220.20 - 335.33,19.36%,3.92,89.26,18.90%,20.80%,-1.68%,0.36,1.19%,1.00,5.90%,74.40%,49.72%,7.41,35000,1.30,14.80%,24.60%,56.85,1.84% 2.13%,Yes,1.77,41.30%,20.90%,1.19,330.80,Yes,1.62,Aug 04 BMO,52.10%,2.86M,329.69,2.00,0.69%,4.96%,19.02%,"3,399,351",-0.34%
KO,Consumer Staples,Coca-Cola Company,0.728129,64.17,DJIA S&P500,27.06,2.37,0.10%,4.33B,4.19%,277.14B,24.46,2.62,-15.99%,4.31B,2.30%,10.31B,4.70,0.67,70.80%,0.80%,-3.05%,40.13B,6.91,25.60%,0.08%,1.94,7.58%,5.74,11.18,11.20%,69.37,12.48%,2.40,26.76,5.75%,44.70%,52.28 - 67.20,8.38%,1.76,95.70,8.50%,12.60%,-4.51%,0.54,2.74%,1.00,-1.60%,60.30%,22.74%,1.11,79000,1.20,16.30%,29.20%,60.53,1.82% 1.68%,Yes,1.68,23.10%,25.70%,0.78,64.06,Yes,1.49,Jul 26 BMO,52.80%,17.67M,64.17,2.10,2.36%,2.82%,6.24%,"13,731,677",0.17%
PEP,Consumer Staples,PepsiCo Inc.,0.704288,174.96,S&P500 NDQ100,25.81,6.78,0.10%,1.38B,3.15%,239.89B,24.12,7.25,-2.14%,1.38B,4.94%,9.43B,3.25,1.83,73.90%,0.79%,-1.43%,81.86B,2.93,9.90%,-0.05%,2.05,3.30%,13.42,13.04,9.90%,182.37,11.57%,4.15,42.15,7.95%,53.80%,149.48 - 177.62,0.72%,4.60,651.88,5.20%,16.30%,-1.50%,0.56,2.63%,0.60,4.80%,53.30%,17.05%,2.87,309000,0.80,5.20%,15.80%,65.84,1.58% 1.67%,Yes,2.12,-39.40%,11.30%,0.80,174.84,Yes,1.79,Jul 12 BMO,65.50%,5.30M,174.96,2.40,2.83%,4.95%,4.58%,"4,214,988",0.07%
MRK,Health Care,Merck & Co. Inc.,0.662605,89.34,DJIA S&P500,16.29,5.48,0.10%,2.53B,-0.85%,226.00B,12.10,7.38,0.00%,2.53B,-3.43%,13.91B,1.55,1.69,75.10%,0.80%,0.86%,53.98B,4.19,173.50%,0.04%,1.76,10.87%,16.17,5.53,14.30%,99.35,16.13%,3.53,25.31,10.53%,38.30%,70.89 - 95.72,16.57%,2.76,37.23,28.20%,15.50%,-6.67%,0.35,3.09%,1.10,4.10%,71.10%,26.03%,2.04,68000,1.40,49.60%,28.90%,41.82,2.30% 2.04%,Yes,0.78,57.20%,26.30%,1.30,89.94,Yes,0.75,Jul 28 BMO,47.80%,11.52M,89.34,2.20,-3.06%,-1.92%,7.22%,"14,934,846",-0.67%
BAC,Financials,Bank of America Corp,0.68821,33.77,S&P500,10.53,3.21,0.10%,8.14B,1.14%,273.46B,8.94,3.78,0.00%,8.03B,6.12%,26.57B,1.51,0.80,71.40%,0.87%,-8.15%,52.76B,5.18,90.70%,0.09%,1.49,-25.64%,29.43,1.15,1.00%,42.16,-12.59%,116.63,0.29,6.97%,12.40%,29.67 - 50.11,-24.01%,0.88,-,19.10%,6.10%,-32.53%,1.43,2.60%,-,-1.40%,-,13.95%,0.94,208000,-,13.20%,90.10%,56.99,2.19% 2.61%,Yes,2.16,-6.80%,57.90%,1.02,33.32,Yes,1.13,Jul 18 BMO,21.70%,47.06M,33.81,2.20,4.94%,1.05%,-18.05%,"48,073,332",1.47%
VZ,Communication Services,Verizon Communications Inc.,0.557295,46.19,DJIA S&P500,8.98,5.14,0.06%,4.20B,3.91%,207.99B,8.39,5.50,-1.19%,4.20B,-9.32%,21.40B,2.62,1.37,64.40%,1.00%,-4.57%,134.30B,1.55,23.70%,0.15%,1.98,-9.77%,19.94,2.32,6.20%,55.63,-17.49%,0.37,125.22,3.43%,27.90%,43.76 - 56.26,-11.10%,2.56,23.61,10.60%,10.50%,-17.89%,0.35,5.54%,0.70,1.20%,57.50%,5.54%,1.14,118400,0.80,2.10%,22.70%,35.82,1.87% 1.94%,Yes,1.83,-13.90%,16.40%,1.09,45.55,Yes,1.67,Jul 22 BMO,47.40%,21.26M,46.19,2.80,-5.91%,-7.47%,-10.43%,"23,120,659",1.41%
COST,Consumer Staples,Costco Wholesale Corporation,0.692335,541.0,S&P500 NDQ100,42.63,12.70,0.21%,443.70M,2.19%,239.66B,37.33,14.50,-1.46%,442.03M,15.21%,5.65B,3.11,4.11,69.20%,0.83%,-3.68%,217.54B,1.10,25.00%,0.25%,1.24,12.18%,45.00,12.03,9.00%,553.92,27.28%,26.72,20.26,13.69%,29.90%,406.51 - 612.27,-4.65%,3.60,88.73,16.20%,19.60%,-11.59%,0.68,0.67%,0.50,10.50%,12.40%,33.16%,12.53,288000,1.00,16.20%,3.50%,67.15,2.33% 2.33%,Yes,0.33,10.70%,2.60%,0.72,536.18,Yes,0.33,May 26 AMC,24.80%,2.95M,541.30,2.20,6.36%,12.85%,4.77%,"2,129,642",0.95%
TMO,Health Care,Thermo Fisher Scientific Inc.,0.681593,597.0,S&P500,31.16,19.20,0.10%,392.00M,6.57%,239.87B,24.54,24.39,-18.30%,390.00M,11.66%,7.60B,3.65,4.99,91.20%,0.70%,7.07%,41.12B,5.83,21.80%,0.01%,2.01,8.07%,104.48,5.73,9.20%,655.43,12.11%,7.24,82.66,8.53%,19.30%,497.83 - 672.34,-10.32%,1.20,36.40,30.70%,10.80%,-11.00%,0.82,0.20%,1.10,16.50%,48.40%,20.20%,16.63,130000,1.60,19.30%,22.00%,66.62,2.88% 2.84%,Yes,0.81,-4.50%,18.50%,1.74,597.64,Yes,0.77,Jul 28 BMO,5.40%,1.37M,598.41,1.90,8.51%,9.84%,3.04%,"2,371,179",0.13%
AVGO,Information Technology,Broadcom Inc.,0.634714,535.0,S&P500 NDQ100,26.53,20.18,0.10%,408.00M,4.48%,218.41B,13.41,39.94,-7.67%,394.30M,9.19%,8.63B,1.95,9.56,83.30%,1.26%,-7.51%,29.99B,7.28,137.10%,0.18%,2.08,-1.26%,51.38,10.42,11.60%,671.52,10.61%,22.08,24.25,13.60%,37.00%,462.66 - 677.76,-19.53%,16.40,28.03,40.00%,12.80%,-20.99%,1.10,3.06%,1.90,15.70%,64.40%,15.74%,12.80,20000,2.10,22.60%,37.40%,63.05,1.99% 2.45%,Yes,1.88,79.60%,28.80%,0.77,533.61,Yes,1.87,May 26 BMO,73.30%,2.39M,535.48,1.80,7.39%,2.55%,-5.78%,"1,845,603",0.35%
ABT,Health Care,Abbott Laboratories,0.562946,108.98,S&P500,22.62,4.81,0.50%,1.76B,-0.33%,193.17B,23.03,4.73,-1.60%,1.74B,-0.24%,8.55B,2.06,0.94,75.50%,0.82%,-7.77%,45.55B,4.24,57.00%,0.07%,2.64,-9.63%,20.09,5.42,9.50%,129.02,-10.12%,4.60,23.68,11.00%,20.30%,101.24 - 142.60,-22.67%,1.88,35.47,40.70%,13.50%,-23.67%,0.73,1.73%,1.40,15.60%,58.10%,7.51%,2.37,113000,1.90,13.80%,18.50%,49.32,1.77% 1.86%,Yes,0.48,37.80%,15.50%,0.92,110.36,Yes,0.48,Jul 20 BMO,45.20%,5.38M,108.84,2.00,0.01%,-1.21%,-9.93%,"4,922,120",-1.38%
MCD,Consumer Discretionary,McDonald's Corporation,0.567628,263.34,DJIA S&P500,27.83,9.46,0.16%,742.60M,3.69%,194.37B,24.65,10.69,-1.25%,738.37M,6.31%,7.11B,3.73,2.47,69.70%,0.83%,3.61%,23.76B,8.18,59.10%,-0.07%,2.16,5.88%,-8.07,-,13.60%,278.69,7.93%,-,-,7.46%,-128.90%,217.68 - 271.15,-1.75%,5.52,62.76,13.00%,28.30%,-2.87%,0.55,2.10%,1.10,-1.20%,54.50%,20.99%,4.66,200000,1.10,10.60%,41.60%,66.91,2.42% 1.71%,Yes,-,-27.80%,29.90%,0.94,263.46,Yes,-,Jul 26 BMO,56.00%,2.83M,263.37,2.10,3.78%,6.56%,5.39%,"2,653,591",-0.03%
CMCSA,Communication Services,Comcast Corporation Class A,0.513279,37.52,S&P500 NDQ100,12.08,3.11,0.10%,4.51B,-11.92%,166.79B,9.32,4.02,-1.64%,4.44B,-4.60%,14.38B,0.94,0.92,85.30%,1.53%,-10.02%,120.19B,1.39,33.50%,0.28%,2.80,-21.85%,20.99,1.79,5.20%,52.42,-35.43%,2.00,18.78,12.87%,15.10%,37.56 - 61.80,-25.45%,1.08,11.22,11.30%,7.90%,-39.29%,0.99,2.88%,0.90,7.60%,66.60%,-0.11%,1.31,189000,0.90,14.00%,17.80%,34.30,3.33% 2.51%,Yes,1.05,9.10%,12.00%,2.23,39.41,Yes,1.03,Jul 28 BMO,32.40%,24.27M,37.52,2.20,-7.91%,-8.91%,-19.86%,"54,126,300",-4.80%
ACN,Information Technology,Accenture Plc Class A,0.560383,306.26,S&P500,29.71,10.31,0.10%,632.75M,6.34%,193.72B,25.46,12.03,-5.53%,599.56M,9.45%,6.63B,2.34,2.57,77.60%,0.64%,-2.42%,59.59B,3.25,16.00%,0.13%,1.65,-8.13%,33.80,9.06,15.00%,353.48,-3.80%,10.60,28.88,12.67%,32.40%,261.77 - 417.37,-26.12%,3.88,38.66,7.30%,29.90%,-26.62%,1.21,1.27%,1.30,7.70%,32.30%,17.00%,7.85,624000,1.30,21.80%,15.00%,67.07,2.43% 2.31%,Yes,0.00,16.10%,11.10%,0.81,303.68,Yes,0.00,Jun 23 BMO,36.20%,2.31M,306.26,-,9.17%,7.40%,-7.09%,"1,868,028",0.85%
CSCO,Information Technology,Cisco Systems Inc.,0.552108,45.3,DJIA S&P500 NDQ100,15.92,2.85,0.10%,4.15B,2.05%,188.38B,12.86,3.53,-1.09%,4.14B,5.81%,12.01B,2.46,0.82,75.40%,0.91%,-10.39%,51.58B,3.65,-5.20%,0.40%,1.55,-16.94%,9.73,4.66,12.60%,54.04,-17.61%,4.84,9.37,6.47%,29.30%,40.82 - 64.29,-28.40%,1.52,25.69,3.40%,19.20%,-29.42%,0.96,3.35%,1.40,0.20%,63.10%,11.15%,0.92,79500,1.50,0.20%,27.40%,59.66,1.86% 2.07%,Yes,0.23,8.10%,23.30%,0.98,45.62,Yes,0.21,May 18 AMC,51.70%,24.21M,45.37,2.50,4.43%,3.10%,-14.20%,"23,696,771",-0.55%
DIS,Communication Services,Walt Disney Company,0.556658,106.1,DJIA S&P500,71.74,1.48,0.14%,1.82B,3.29%,196.01B,19.38,5.47,-0.01%,1.82B,10.93%,2.71B,1.80,0.98,64.90%,1.15%,-7.97%,76.62B,2.56,170.70%,-0.05%,1.69,-21.65%,49.75,2.13,1.30%,145.00,-40.51%,7.18,14.77,39.80%,3.00%,90.23 - 187.58,-31.50%,-,126.37,-28.00%,2.20%,-43.44%,1.25,-,1.00,3.90%,33.80%,17.59%,2.88,190000,1.10,23.30%,7.40%,63.06,2.45% 2.65%,Yes,0.57,-48.40%,3.50%,0.83,104.90,Yes,0.51,Aug 10 AMC,0.00%,12.38M,106.10,2.00,8.22%,5.86%,-20.88%,"10,311,102",1.14%
