,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
NVDA,Information Technology,NVIDIA Corporation,1.298716,169.43,S&P 500,45.68,3.73,0.30%,2.51B,5.73%,443.56B,27.19,6.26,-10.74%,2.40B,4.92%,9.46B,2.00,1.26,65.90%,1.37%,-12.76%,29.54B,15.02,123.10%,-0.00%,0.58,-27.17%,10.50,16.21,22.40%,243.86,-12.96%,7.81,21.81,22.80%,38.70%,140.55 - 346.47,-42.12%,0.16,58.94,43.10%,26.20%,-50.86%,1.66,0.09%,4.70,31.30%,65.30%,21.12%,8.14,22473,5.30,46.40%,33.70%,53.94,4.73% 4.69%,Yes,0.00,-15.70%,32.00%,0.84,173.19,Yes,0.42,May 25 AMC,4.20%,57.20M,170.24,2.00,6.47%,1.51%,-27.00%,"47,854,407",-1.70%
PG,Consumer Staples,Procter & Gamble Company,1.027626,143.99,DJIA S&P500,25.16,5.72,0.12%,2.40B,0.47%,340.04B,23.73,6.07,-17.86%,2.40B,1.19%,14.31B,5.47,1.23,65.80%,0.59%,-10.70%,79.62B,4.27,10.90%,0.00%,1.86,-11.46%,18.59,7.75,11.90%,159.54,3.00%,3.61,39.88,4.60%,32.00%,129.50 - 165.35,-11.98%,3.65,28.88,9.50%,18.30%,-12.92%,0.37,2.54%,0.50,3.10%,48.30%,11.19%,2.76,101000,0.70,7.00%,22.30%,50.73,1.67% 1.67%,Yes,0.75,5.10%,18.00%,0.69,143.02,Yes,0.53,Jul 29 BMO,58.80%,7.56M,143.99,2.40,-0.07%,-0.11%,-4.86%,"5,251,238",0.68%
JPM,Financials,JPMorgan Chase & Co.,1.009376,115.22,DJIA S&P500,9.25,12.46,0.10%,2.98B,3.07%,340.06B,9.17,12.57,-0.86%,2.91B,1.14%,37.20B,8.64,2.96,71.10%,0.57%,-9.14%,63.64B,5.34,73.10%,0.19%,1.21,-20.58%,85.01,1.36,1.20%,139.04,-23.51%,572.05,0.20,1.07%,18.20%,106.06 - 172.96,-27.24%,4.00,5.09,19.90%,6.30%,-33.38%,1.13,3.47%,-,0.70%,-,8.64%,3.17,273948,-,8.60%,96.70%,49.87,1.75% 2.52%,Yes,1.16,-41.50%,73.10%,0.68,114.76,Yes,1.16,Jul 14 BMO,24.10%,13.68M,115.22,2.40,1.30%,-3.00%,-19.25%,"9,371,194",0.40%
V,Information Technology,Visa Inc. Class A,1.053214,214.27,DJIA S&P500,35.17,6.09,0.18%,2.09B,3.41%,451.56B,25.53,8.39,-2.01%,1.63B,8.97%,13.45B,1.93,1.74,97.20%,2.05%,2.93%,26.94B,16.76,15.10%,0.11%,4.85,4.05%,15.78,13.58,16.30%,261.86,-13.95%,6.42,33.38,18.21%,39.80%,185.91 - 252.67,-1.13%,1.50,36.79,17.80%,21.70%,-15.20%,0.91,0.70%,1.30,9.80%,80.60%,15.25%,5.36,21500,1.30,25.50%,66.70%,61.83,2.13% 2.63%,Yes,0.64,23.40%,49.90%,0.63,213.70,Yes,0.53,Jul 26 AMC,21.80%,6.88M,214.27,1.80,4.40%,5.34%,1.11%,"4,342,093",0.27%
PFE,Health Care,Pfizer Inc.,0.860814,51.77,S&P 500,11.67,4.43,0.04%,5.62B,2.01%,289.85B,9.48,5.46,-5.80%,5.61B,3.35%,25.42B,-,1.80,69.10%,1.23%,7.56%,92.37B,3.14,233.60%,-0.10%,3.06,-1.93%,14.67,3.53,14.00%,58.59,24.21%,4.27,12.13,-0.80%,32.70%,40.94 - 61.71,-12.33%,1.60,12.62,27.40%,18.90%,-16.11%,0.70,3.09%,1.10,9.00%,60.40%,26.45%,1.17,79000,1.40,76.80%,30.30%,52.33,1.55% 2.15%,Yes,0.44,58.80%,27.00%,0.58,51.23,Yes,0.43,Jul 28 BMO,35.30%,22.50M,51.77,2.30,-0.05%,0.78%,1.53%,"12,972,496",1.05%
HD,Consumer Discretionary,Home Depot Inc.,0.948781,306.15,DJIA S&P500,19.43,15.75,0.10%,1.03B,4.47%,313.02B,17.66,17.33,-1.01%,1.03B,11.16%,16.52B,1.33,4.95,71.20%,0.82%,2.01%,152.56B,2.05,30.10%,-0.07%,2.01,-12.30%,-1.66,-,22.60%,347.99,-8.02%,2.78,110.06,14.60%,-,264.51 - 420.61,-26.23%,7.60,75.75,19.20%,46.20%,-27.21%,1.01,2.48%,0.30,9.80%,33.60%,15.74%,6.98,490600,1.10,3.80%,15.20%,69.07,1.90% 2.50%,Yes,-,6.10%,10.80%,0.45,306.59,Yes,-,May 17 BMO,43.30%,4.19M,306.15,2.10,6.47%,5.88%,-9.36%,"1,896,713",-0.14%
CVX,Energy,Chevron Corporation,0.84842,148.48,DJIA S&P500,13.96,10.63,0.07%,1.94B,6.38%,294.18B,9.39,15.81,-56.10%,1.91B,4.25%,20.51B,0.58,5.08,71.90%,0.94%,-7.75%,176.84B,1.66,374.50%,0.39%,1.64,17.00%,75.54,1.97,8.40%,175.70,50.19%,5.91,25.14,24.14%,14.80%,92.86 - 182.40,26.53%,5.68,20.54,100.80%,6.70%,-18.60%,1.11,3.83%,1.20,7.10%,40.90%,59.90%,5.13,42595,1.40,66.90%,12.90%,51.08,2.93% 2.83%,Yes,0.20,347.80%,11.60%,0.57,144.19,Yes,0.20,Jul 29 BMO,51.00%,10.95M,148.48,2.30,3.74%,-6.34%,5.22%,"6,197,479",2.98%
MA,Information Technology,Mastercard Incorporated Class A,0.885803,344.21,S&P 500,35.81,9.61,10.80%,977.00M,3.99%,337.75B,27.20,12.65,-1.54%,859.34M,8.67%,9.49B,1.60,2.35,78.10%,0.59%,-1.98%,19.90B,16.98,37.40%,0.08%,1.57,-3.06%,7.20,47.81,26.20%,419.92,-12.47%,7.47,46.09,22.36%,138.10%,303.65 - 399.92,-4.21%,1.96,44.96,18.90%,39.90%,-13.93%,1.04,0.57%,1.30,11.90%,-,13.36%,9.09,24000,1.30,24.40%,54.50%,61.33,2.40% 2.66%,Yes,2.08,46.40%,47.70%,0.67,343.88,Yes,1.97,Jul 28 BMO,18.80%,3.23M,344.21,1.80,5.07%,3.12%,-1.18%,"2,170,635",0.10%
ABBV,Health Care,AbbVie Inc.,0.785701,150.22,S&P 500,21.55,6.97,0.10%,1.77B,0.43%,264.17B,12.55,11.97,-31.72%,1.77B,0.52%,12.40B,58.71,3.33,71.50%,0.82%,-3.08%,56.73B,4.66,137.00%,0.83%,2.20,13.82%,9.19,16.35,8.50%,162.42,27.10%,4.31,34.89,0.37%,85.80%,105.56 - 175.91,10.95%,5.64,21.00,12.20%,17.90%,-14.60%,0.72,3.75%,0.70,17.00%,69.80%,42.31%,3.13,50000,0.80,4.10%,32.70%,50.50,1.42% 1.91%,Yes,4.51,26.20%,21.90%,0.66,148.47,Yes,3.90,Jul 29 BMO,75.90%,6.57M,150.22,2.20,-1.02%,0.63%,7.37%,"4,341,294",1.18%
LLY,Health Care,Eli Lilly and Company,0.776416,331.55,S&P 500,49.20,6.74,11.10%,903.70M,3.04%,313.27B,34.89,9.50,-3.23%,898.30M,6.02%,6.13B,3.40,1.70,84.10%,0.55%,18.95%,29.32B,10.68,-9.80%,-0.18%,1.67,36.41%,10.33,32.10,12.80%,329.42,35.80%,2.72,121.98,14.46%,75.40%,220.20 - 335.33,20.03%,3.92,89.76,18.90%,20.80%,-1.13%,0.36,1.18%,1.00,5.90%,74.40%,50.57%,7.66,35000,1.30,14.80%,24.60%,59.47,1.80% 2.27%,Yes,1.77,41.30%,20.90%,0.59,328.75,Yes,1.62,Aug 04 BMO,52.10%,2.94M,331.55,2.00,1.71%,6.60%,20.55%,"1,739,035",0.85%
KO,Consumer Staples,Coca-Cola Company,0.719616,62.19,DJIA S&P500,26.23,2.37,0.10%,4.33B,0.88%,268.59B,23.71,2.62,-15.48%,4.31B,0.50%,10.31B,4.56,0.67,70.80%,0.71%,-4.69%,40.13B,6.69,25.60%,0.08%,1.68,2.88%,5.74,10.83,11.20%,69.37,9.09%,2.40,25.94,5.75%,44.70%,52.28 - 67.20,5.03%,1.76,92.74,8.50%,12.60%,-7.46%,0.54,2.83%,1.00,-1.60%,60.30%,18.96%,1.10,79000,1.20,16.30%,29.20%,49.29,1.56% 1.62%,Yes,1.68,23.10%,25.70%,0.82,61.59,Yes,1.49,Jul 26 BMO,52.80%,18.12M,62.19,2.10,-0.68%,-0.61%,3.27%,"14,910,531",0.97%
PEP,Consumer Staples,PepsiCo Inc.,0.702313,169.6,S&P 500,25.05,6.78,0.10%,1.38B,0.94%,232.89B,23.41,7.25,-2.14%,1.38B,3.50%,9.43B,3.15,1.83,73.90%,0.79%,-1.34%,81.86B,2.84,9.90%,-0.05%,1.99,-2.51%,13.42,12.66,9.90%,182.37,8.06%,4.15,40.91,7.95%,53.80%,149.48 - 177.62,-2.22%,4.60,632.84,5.20%,16.30%,-4.37%,0.56,2.71%,0.60,4.80%,53.30%,13.63%,2.94,309000,0.80,5.20%,15.80%,54.94,1.31% 1.66%,Yes,2.12,-39.40%,11.30%,0.61,169.61,Yes,1.79,Jul 12 BMO,65.50%,5.47M,169.85,2.40,0.56%,1.86%,1.72%,"3,340,811",0.14%
MRK,Health Care,Merck & Co. Inc.,0.682408,90.53,DJIA S&P500,16.51,5.48,0.10%,2.53B,-1.96%,229.01B,12.26,7.38,0.00%,2.53B,-1.60%,13.91B,1.57,1.69,75.10%,0.81%,7.02%,53.98B,4.24,173.50%,0.04%,1.73,13.19%,16.17,5.60,14.30%,99.35,16.75%,3.53,25.65,10.53%,38.30%,70.89 - 95.72,18.12%,2.76,37.72,28.20%,15.50%,-5.42%,0.35,3.05%,1.10,4.10%,71.10%,27.70%,1.89,68000,1.40,49.60%,28.90%,46.25,1.77% 1.99%,Yes,0.78,57.20%,26.30%,0.54,90.11,Yes,0.75,Jul 28 BMO,47.80%,11.81M,90.53,2.20,-2.25%,-0.61%,8.91%,"6,355,156",0.47%
BAC,Financials,Bank of America Corp,0.709777,33.73,S&P 500,10.51,3.21,0.10%,8.14B,4.56%,272.81B,8.92,3.78,-0.23%,8.03B,5.14%,26.57B,1.51,0.80,71.40%,1.01%,-10.20%,52.76B,5.17,90.70%,0.09%,1.69,-24.91%,29.43,1.15,1.00%,42.16,-10.53%,116.63,0.29,6.97%,12.40%,29.67 - 50.11,-24.19%,0.88,-,19.10%,6.10%,-32.69%,1.43,2.61%,-,-1.40%,-,13.68%,1.02,208000,-,13.20%,90.10%,57.84,2.15% 2.81%,Yes,2.16,-6.80%,57.90%,0.63,33.43,Yes,1.13,Jul 18 BMO,21.70%,47.98M,33.73,2.20,5.50%,0.39%,-18.67%,"30,290,167",0.90%
VZ,Communication Services,Verizon Communications Inc.,0.559034,44.76,DJIA S&P500,8.70,5.14,0.06%,4.20B,-10.98%,201.55B,8.13,5.50,-0.47%,4.20B,-14.07%,21.40B,2.54,1.37,64.40%,0.94%,-13.77%,134.30B,1.50,23.70%,0.15%,1.78,-15.80%,19.94,2.24,6.20%,55.63,-19.90%,0.37,121.34,3.43%,27.90%,43.76 - 56.33,-13.86%,2.56,22.88,10.60%,10.50%,-20.55%,0.35,5.72%,0.70,1.20%,57.50%,2.27%,1.24,118400,0.80,2.10%,22.70%,23.92,2.71% 1.95%,Yes,1.83,-13.90%,16.40%,1.23,44.45,Yes,1.67,Jul 22 BMO,47.40%,22.03M,44.76,2.80,-10.93%,-10.80%,-13.48%,"27,144,457",0.70%
COST,Consumer Staples,Costco Wholesale Corporation,0.703109,513.0,S&P 500,41.67,12.70,0.21%,443.70M,2.49%,234.28B,36.49,14.50,-1.81%,442.03M,11.40%,5.65B,3.04,4.11,69.20%,0.85%,-7.44%,217.54B,1.08,25.00%,0.25%,1.26,9.87%,45.00,11.76,9.00%,553.92,24.97%,26.72,19.80,13.69%,29.90%,406.51 - 612.27,-6.79%,3.60,86.74,16.20%,19.60%,-13.58%,0.68,0.68%,0.50,10.50%,12.40%,30.17%,11.41,288000,1.00,16.20%,3.50%,67.77,1.67% 2.27%,Yes,0.33,10.70%,2.60%,0.48,529.72,Yes,0.33,May 26 AMC,24.80%,2.96M,529.14,2.20,6.00%,10.93%,2.71%,"1,408,961",-0.11%
TMO,Health Care,Thermo Fisher Scientific Inc.,0.658313,567.44,S&P 500,29.55,19.20,0.10%,392.00M,8.96%,227.46B,23.27,24.39,-18.30%,390.00M,4.96%,7.60B,3.46,4.99,91.20%,0.76%,1.10%,41.12B,5.53,21.80%,0.01%,2.07,-2.22%,104.48,5.43,9.20%,655.43,6.61%,7.24,78.38,8.53%,19.30%,497.83 - 672.34,-14.96%,1.20,34.52,30.70%,10.80%,-15.60%,0.82,0.21%,1.10,16.50%,48.40%,13.98%,16.53,130000,1.60,19.30%,22.00%,58.42,2.80% 2.60%,Yes,0.81,-4.50%,18.50%,0.83,561.54,Yes,0.77,Jul 28 BMO,5.40%,1.43M,567.44,1.90,4.41%,4.90%,-2.29%,"1,191,933",1.05%
AVGO,Information Technology,Broadcom Inc.,0.62666,513.0,S&P 500,25.42,20.18,0.10%,408.00M,4.49%,209.29B,12.85,39.94,-7.67%,394.30M,3.33%,8.63B,1.87,9.56,83.30%,1.24%,-12.58%,29.99B,6.98,137.10%,0.18%,2.01,-3.77%,51.38,9.99,11.60%,671.52,6.20%,22.08,23.24,13.60%,37.00%,462.66 - 677.76,-22.89%,16.40,26.86,40.00%,12.80%,-24.29%,1.10,3.20%,1.90,15.70%,64.40%,10.90%,13.60,20000,2.10,22.60%,37.40%,53.40,2.40% 2.49%,Yes,1.88,79.60%,28.80%,0.62,512.52,Yes,1.87,May 26 BMO,73.30%,2.44M,513.11,1.80,3.76%,-2.57%,-9.62%,"1,499,243",0.12%
ABT,Health Care,Abbott Laboratories,0.572596,108.5,S&P 500,22.55,4.81,0.50%,1.76B,1.38%,192.57B,22.96,4.73,-1.02%,1.74B,2.16%,8.55B,2.05,0.94,75.50%,0.75%,-9.31%,45.55B,4.23,57.00%,0.07%,2.41,-13.77%,20.09,5.40,9.50%,129.02,-10.18%,4.60,23.60,11.00%,20.30%,101.24 - 142.60,-22.91%,1.88,35.36,40.70%,13.50%,-23.91%,0.73,1.73%,1.40,15.60%,58.10%,7.17%,2.59,113000,1.90,13.80%,18.50%,48.96,2.19% 2.01%,Yes,0.48,37.80%,15.50%,0.72,109.20,Yes,0.48,Jul 20 BMO,45.20%,5.38M,108.50,2.00,-0.15%,-1.44%,-10.33%,"3,899,191",-0.64%
MCD,Consumer Discretionary,McDonald's Corporation,0.562517,250.38,DJIA S&P500,26.45,9.46,0.16%,742.60M,-0.81%,184.79B,23.43,10.69,-0.40%,738.37M,2.79%,7.11B,3.55,2.47,69.70%,0.84%,0.08%,23.76B,7.78,59.10%,-0.07%,2.22,-1.65%,-8.07,-,13.60%,278.69,3.05%,-,-,7.46%,-128.90%,217.68 - 271.15,-6.60%,5.52,59.67,13.00%,28.30%,-7.66%,0.55,2.20%,1.10,-1.20%,54.50%,15.02%,4.21,200000,1.10,10.60%,41.60%,50.12,1.42% 1.58%,Yes,-,-27.80%,29.90%,1.02,253.99,Yes,-,Jul 26 BMO,56.00%,2.80M,250.38,2.10,-0.47%,1.74%,0.27%,"2,854,105",-1.42%
CMCSA,Communication Services,Comcast Corporation Class A,0.57033,42.59,S&P 500,13.67,3.11,0.10%,4.51B,4.76%,188.79B,10.55,4.02,-1.64%,4.44B,8.59%,14.38B,1.06,0.92,85.30%,1.47%,-6.41%,120.19B,1.57,33.50%,0.28%,2.66,-14.60%,20.99,2.02,5.20%,52.42,-27.23%,2.00,21.26,12.87%,15.10%,37.56 - 61.80,-15.62%,1.08,12.70,11.30%,7.90%,-31.28%,0.99,2.54%,0.90,7.60%,66.60%,13.07%,1.00,189000,0.90,14.00%,17.80%,63.14,2.04% 2.21%,Yes,1.05,9.10%,12.00%,0.69,42.60,Yes,1.03,Jul 28 BMO,32.40%,24.54M,42.47,2.20,5.55%,3.28%,-9.80%,"16,813,375",-0.31%
ACN,Information Technology,Accenture Plc Class A,0.546316,289.29,S&P 500,28.06,10.31,0.10%,632.75M,7.68%,182.99B,24.05,12.03,-5.27%,599.56M,1.21%,6.63B,2.21,2.57,77.60%,0.66%,-6.92%,59.59B,3.07,16.00%,0.13%,1.69,-13.81%,33.80,8.56,15.00%,353.48,-9.21%,10.60,27.28,12.67%,32.40%,261.77 - 417.37,-30.22%,3.88,36.51,7.30%,29.90%,-30.69%,1.21,1.34%,1.30,7.70%,32.30%,10.51%,7.63,624000,1.30,21.80%,15.00%,57.21,2.14% 2.52%,Yes,0.00,16.10%,11.10%,0.58,288.01,Yes,0.00,Jun 23 BMO,36.20%,2.33M,289.29,-,3.49%,1.74%,-12.41%,"1,350,588",0.44%
CSCO,Information Technology,Cisco Systems Inc.,0.553105,44.42,DJIA S&P500,15.56,2.85,0.10%,4.15B,4.08%,184.11B,12.56,3.53,-1.09%,4.14B,3.28%,12.01B,2.40,0.82,75.40%,0.91%,-13.67%,51.58B,3.57,-5.20%,0.40%,1.54,-21.77%,9.73,4.56,12.60%,54.04,-19.72%,4.84,9.15,6.47%,29.30%,40.82 - 64.29,-30.03%,1.52,25.10,3.40%,19.20%,-31.03%,0.96,3.43%,1.40,0.20%,63.10%,8.62%,0.94,79500,1.50,0.20%,27.40%,54.45,1.81% 2.09%,Yes,0.23,8.10%,23.30%,0.53,44.46,Yes,0.21,May 18 AMC,51.70%,24.53M,44.34,2.50,2.60%,-0.02%,-16.47%,"12,913,318",-0.27%
DIS,Communication Services,Walt Disney Company,0.560321,102.69,DJIA S&P500,69.43,1.48,0.14%,1.82B,7.30%,189.71B,18.76,5.47,-0.01%,1.82B,8.90%,2.71B,1.74,0.98,64.90%,1.17%,-13.17%,76.62B,2.48,170.70%,-0.05%,1.63,-25.25%,49.75,2.06,1.30%,145.00,-41.70%,7.18,14.29,39.80%,3.00%,90.23 - 187.58,-33.70%,-,122.31,-28.00%,2.20%,-45.26%,1.25,-,1.00,3.90%,33.80%,13.81%,2.81,190000,1.10,23.30%,7.40%,59.16,2.83% 2.74%,Yes,0.57,-48.40%,3.50%,0.51,102.72,Yes,0.51,Aug 10 AMC,0.00%,13.04M,102.69,2.00,6.09%,2.23%,-24.25%,"6,702,808",-0.03%
